localAuthority,authorityName,industryCode,industryName,observation
W06000013,Bridgend,7,"O, P, Q Public administration, education and health",22984
W06000014,Vale of Glamorgan,7,"O, P, Q Public administration, education and health",22845
W06000015,Cardiff,7,"O, P, Q Public administration, education and health",62078
W06000016,Rhondda Cynon Taf,7,"O, P, Q Public administration, education and health",38009
W06000018,Caerphilly,7,"O, P, Q Public administration, education and health",26704
W06000019,Blaenau Gwent,7,"O, P, Q Public administration, education and health",10128
W06000020,Torfaen,7,"O, P, Q Public administration, education and health",14274
W06000021,Monmouthshire,7,"O, P, Q Public administration, education and health",13860
W06000022,Newport,7,"O, P, Q Public administration, education and health",24143
W06000023,Powys,7,"O, P, Q Public administration, education and health",18917
W06000024,Merthyr Tydfil,7,"O, P, Q Public administration, education and health",9387
